"","sample","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","note"
"1","A1",0.21889548732074,0.00716973789135577,0.934434164559792,3.62296546208257,0.741782788824383,4.45263962305237,4.44734114583333,0.00718288593582559,""
"2","A2",0.222229545826041,0.0079198083707849,0.900490482958288,3.66250992360903,0.769744038030053,4.510635648047,4.50530052083333,0.00602082667163471,""
"3","A3",0.224441729751284,0.00844801022250609,0.875263982288322,3.7032466313968,0.791929286005528,4.54560014122056,4.53941614583333,0.00547369585075239,""
"4","A4",0.226095467750901,0.00899412913040809,0.855010008835619,3.72368997349804,0.810688966675251,4.57364753098348,4.56652864583333,0.00545385338607295,""
"5","A5",0.233644268082032,0.00953384732359721,0.833517652374176,3.78791082402333,0.831592682633172,4.71076079402213,4.70160364583333,0.00574366718329307,""
"6","A6",0.233824300242218,0.00930358181386647,0.860710486169688,3.69876813839021,0.805319781387318,4.73589123053378,4.72695677083333,0.00593506110220727,""
"7","F1",0.200173181044544,0.00534395780069394,1.07488561804178,3.34561817241008,0.644856688865849,4.12941409187753,4.12652864583333,0.00963603742917756,""
"8","F2",0.204942271343901,0.00607894003511043,1.02986183770937,3.38665570398309,0.673048709234293,4.21855361254888,4.21583489583333,0.00927722669627167,""
"9","F3",0.208498665882715,0.00594022402711694,1.0231217352255,3.4495226496396,0.677482607098724,4.27885681845185,4.27566614583333,0.00972186266267784,""
"10","F4",0.202818983657227,0.00547483124459317,1.03921402112477,3.44951823776036,0.666991751910479,4.16268717181558,4.15954739583333,0.00953439499106304,""
"11","F5",0.209111149693029,0.00672598071216767,0.996034989661198,3.41774631274647,0.69590645685622,4.29711499033415,4.29457864583333,0.00954844960552519,""
"12","F6",0.20890139023801,0.00685278650950928,0.981751490743763,3.44675098903634,0.706031197400907,4.28650507299163,4.28246927083333,0.00799260195715813,""
"13","L2",0.203502021951574,0.00622778584163439,1.05024686479917,3.29024924616104,0.659985003328231,4.20845369189317,4.20590677083333,0.00959598378841891,""
"14","L3",0.202041566943533,0.00585200830675256,1.02601007196266,3.42325725751392,0.675575415389459,4.15156945871882,4.14948802083333,0.00926417749680842,""
"15","L5",0.20410200856578,0.00609649576309125,1.02013422832778,3.41188505889683,0.679466644008374,4.19600837026048,4.19353489583333,0.00984880261125169,""
"16","L6",0.202216218939625,0.005969252267951,1.01833036895373,3.42988124018209,0.680670243854269,4.15366157668382,4.15166614583333,0.00950290533550704,""
"17","L8",0.199805880336191,0.00534742176349424,1.02564875282172,3.50373753038989,0.675813409466926,4.08998903191466,4.08735677083333,0.00918162183615714,""
"18","L9",0.207024367508964,0.00621703189159806,0.929339837899342,3.73927079457764,0.745848991179286,4.18767241620721,4.18341614583333,0.00723142461170577,""
"19","",0,0,0,0,0,0,0,0,""
