ID,strain,treatment,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,note
1,A1,A,0.218895487,0.007169738,0.934434165,3.622965462,0.741782789,4.452639623,4.447341146,0.007182886,
2,A2,A,0.222229546,0.007919808,0.900490483,3.662509924,0.769744038,4.510635648,4.505300521,0.006020827,
3,A3,A,0.22444173,0.00844801,0.875263982,3.703246631,0.791929286,4.545600141,4.539416146,0.005473696,
4,A4,A,0.226095468,0.008994129,0.855010009,3.723689973,0.810688967,4.573647531,4.566528646,0.005453853,
5,A5,A,0.233644268,0.009533847,0.833517652,3.787910824,0.831592683,4.710760794,4.701603646,0.005743667,
6,A6,A,0.2338243,0.009303582,0.860710486,3.698768138,0.805319781,4.735891231,4.726956771,0.005935061,
7,F1,F,0.200173181,0.005343958,1.074885618,3.345618172,0.644856689,4.129414092,4.126528646,0.009636037,
8,F2,F,0.204942271,0.00607894,1.029861838,3.386655704,0.673048709,4.218553613,4.215834896,0.009277227,
9,F3,F,0.208498666,0.005940224,1.023121735,3.44952265,0.677482607,4.278856818,4.275666146,0.009721863,
10,F4,F,0.202818984,0.005474831,1.039214021,3.449518238,0.666991752,4.162687172,4.159547396,0.009534395,
11,F5,F,0.20911115,0.006725981,0.99603499,3.417746313,0.695906457,4.29711499,4.294578646,0.00954845,
12,F6,F,0.20890139,0.006852787,0.981751491,3.446750989,0.706031197,4.286505073,4.282469271,0.007992602,
13,L2,L,0.203502022,0.006227786,1.050246865,3.290249246,0.659985003,4.208453692,4.205906771,0.009595984,
14,L3,L,0.202041567,0.005852008,1.026010072,3.423257258,0.675575415,4.151569459,4.149488021,0.009264177,
15,L5,L,0.204102009,0.006096496,1.020134228,3.411885059,0.679466644,4.19600837,4.193534896,0.009848803,
16,L6,L,0.202216219,0.005969252,1.018330369,3.42988124,0.680670244,4.153661577,4.151666146,0.009502905,
17,L8,L,0.19980588,0.005347422,1.025648753,3.50373753,0.675813409,4.089989032,4.087356771,0.009181622,
18,L9,L,0.207024368,0.006217032,0.929339838,3.739270795,0.745848991,4.187672416,4.183416146,0.007231425,
